State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin%,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016,Final?
Florida,2,R+18,Neal Dunn,R,"96,069","199,112",0,32.50%,67.50%,0.00%,-34.90%,-35.60%,0.70%,83.20%,
93,,,,,,,,,,,,,,,
Florida,3,R+9,Ted Yoho,R,"129,153","176,286",0,42.30%,57.70%,0.00%,-15.40%,-16.00%,0.60%,86.80%,
94,,,,,,,,,,,,,,,
Florida,4,R+17,John Rutherford,R,"123,033","248,062","9,434",32.30%,65.20%,2.50%,-32.90%,-28.00%,-4.90%,90.20%,
95,,,,,,,,,,,,,,,
Florida,5,D+12,Al Lawson,D,"180,105","89,664",0,66.80%,33.20%,0.00%,33.50%,25.40%,8.10%,86.50%,
96,,,,,,,,,,,,,,,
Florida,6,R+7,Michael Waltz,R,"145,547","187,705",0,43.70%,56.30%,0.00%,-12.70%,-17.00%,4.30%,87.70%,
97,,,,,,,,,,,,,,,
Florida,7,EVEN,Stephanie Murphy,D,"182,949","134,253",0,57.70%,42.30%,0.00%,15.40%,7.30%,8.10%,87.30%,
98,,,,,,,,,,,,,,,
Florida,8,R+11,Bill Posey,R,"142,209","217,931",0,39.50%,60.50%,0.00%,-21.00%,-20.70%,-0.30%,89.60%,
99,,,,,,,,,,,,,,,
Florida,9,D+5,Darren Soto,D,"171,941","124,460",0,58.00%,42.00%,0.00%,16.00%,12.90%,3.10%,83.10%,
100,,,,,,,,,,,,,,,
Florida,10,D+11,Val Demings,D,0,0,0,100.00%,0.00%,0.00%,100.00%,26.90%,N/A,0.00%,
101,,,,,,,,,,,,,,,
Florida,11,R+15,Dan Webster,R,"127,933","239,242",0,34.80%,65.20%,0.00%,-30.30%,-32.30%,2.00%,89.30%,
102,,,,,,,,,,,,,,,
Florida,12,R+8,Gus Bilirakis,R,"132,695","194,436","7,501",39.70%,58.10%,2.20%,-18.50%,-18.60%,0.10%,88.00%,
103,,,,,,,,,,,,,,,
Florida,13,D+2,Charlie Crist,D,"182,563","134,183",0,57.60%,42.40%,0.00%,15.30%,3.20%,12.10%,87.80%,
104,,,,,,,,,,,,,,,
Florida,14,D+7,Kathy Castor,D,0,0,0,100.00%,0.00%,0.00%,100.00%,18.20%,N/A,0.00%,
105,,,,,,,,,,,,,,,
Florida,15,R+6,Ross Spano,R,"133,686","151,064",0,46.90%,53.10%,0.00%,-6.10%,-10.00%,3.90%,85.10%,
106,,,,,,,,,,,,,,,
Florida,16,R+7,Vern Buchanan,R,"164,078","197,055",0,45.40%,54.60%,0.00%,-9.10%,-10.80%,1.70%,91.00%,
107,,,,,,,,,,,,,,,
Florida,17,R+13,Greg Steube,R,"117,074","193,185",0,37.70%,62.30%,0.00%,-24.50%,-27.20%,2.70%,87.70%,
108,,,,,,,,,,,,,,,
Florida,18,R+5,Brian Mast,R,"155,746","185,453",0,45.60%,54.40%,0.00%,-8.70%,-9.20%,0.50%,89.20%,
109,,,,,,,,,,,,,,,
Florida,19,R+13,Francis Rooney,R,"127,952","211,321",0,37.70%,62.30%,0.00%,-24.60%,-22.10%,-2.50%,89.00%,
110,,,,,,,,,,,,,,,
Florida,20,D+31,Alcee Hastings,D,"201,793",0,0,100.00%,0.00%,0.00%,100.00%,62.10%,N/A,69.90%,
111,,,,,,,,,,,,,,,
Florida,21,D+9,Lois Frankel,D,0,0,0,100.00%,0.00%,0.00%,100.00%,19.50%,N/A,0.00%,
112,,,,,,,,,,,,,,,
Florida,22,D+6,Ted Deutch,D,"183,701","112,609",0,62.00%,38.00%,0.00%,24.00%,15.70%,8.30%,83.10%,
113,,,,,,,,,,,,,,,
Florida,23,D+11,Debbie Wasserman Schultz,D,"161,025","99,115","15,240",58.50%,36.00%,5.50%,22.50%,26.10%,-3.60%,82.00%,
114,,,,,,,,,,,,,,,
Florida,24,D+34,Frederica Wilson,D,0,0,0,100.00%,0.00%,0.00%,100.00%,67.20%,N/A,0.00%,
115,,,,,,,,,,,,,,,
Florida,25,R+4,Mario Diaz-Balart,R,"84,034","128,611",0,39.50%,60.50%,0.00%,-21.00%,-1.90%,-19.10%,80.80%,
116,,,,,,,,,,,,,,,
Florida,26,D+6,Debbie Mucarsel-Powell,D,"119,723","115,644",0,50.90%,49.10%,0.00%,1.70%,16.30%,-14.60%,81.40%,
117,,,,,,,,,,,,,,,
Florida,27,D+5,Donna Shalala,D,"130,636","115,546","6,253",51.80%,45.80%,2.50%,6.00%,19.70%,-13.70%,84.40%,
118,,,,,,,,,,,,,,,
Georgia,1,R+9,Buddy Carter,R,"105,546","144,467",0,42.20%,57.80%,0.00%,-15.60%,-15.50%,-0.10%,92.70%,
119,,,,,,,,,,,,,,,
Georgia,2,D+6,Sanford Bishop,D,"135,707","92,132",0,59.60%,40.40%,0.00%,19.10%,11.70%,7.40%,91.80%,
120,,,,,,,,,,,,,,,
Georgia,3,R+18,Drew Ferguson,R,"100,733","191,700",0,34.40%,65.60%,0.00%,-31.10%,-31.60%,0.50%,93.80%,
121,,,,,,,,,,,,,,,
Georgia,4,D+24,Hank Johnson,D,"225,879","60,817",0,78.80%,21.20%,0.00%,57.60%,53.10%,4.50%,96.00%,
122,,,,,,,,,,,,,,,
Georgia,5,D+34,John Lewis,D,"273,039",0,0,100.00%,0.00%,0.00%,100.00%,73.10%,N/A,89.30%,
123,,,,,,,,,,,,,,,
Georgia,6,R+8,Lucy McBath,D,"159,268","156,396",0,50.50%,49.50%,0.00%,0.90%,-1.50%,2.40%,95.30%,
124,,,,,,,,,,,,,,,
Georgia,7,R+9,,,"138,914","139,804",0,49.80%,50.20%,0.00%,-0.30%,-6.40%,6.10%,94.50%,
125,,,,,,,,,,,,,,,
Georgia,8,R+15,Austin Scott,R,0,"197,401",0,0.00%,100.00%,0.00%,-100.00%,-28.90%,N/A,74.30%,
126,,,,,,,,,,,,,,,
Georgia,9,R+31,Doug Collins,R,"57,823","224,412",0,20.50%,79.50%,0.00%,-59.00%,-58.50%,-0.50%,95.00%,
127,,,,,,,,,,,,,,,
Georgia,10,R+15,Jody Hice,R,"111,938","190,080",0,37.10%,62.90%,0.00%,-25.90%,-25.50%,-0.40%,95.90%,
128,,,,,,,,,,,,,,,
Georgia,11,R+17,Barry Loudermilk,R,"118,053","191,529",0,38.10%,61.90%,0.00%,-23.70%,-25.10%,1.40%,94.00%,
129,,,,,,,,,,,,,,,
Georgia,12,R+9,Rick Allen,R,"100,986","148,092",0,40.50%,59.50%,0.00%,-18.90%,-16.20%,-2.70%,93.10%,
130,,,,,,,,,,,,,,,
Georgia,13,D+20,David Scott,D,"220,748","69,401",0,76.10%,23.90%,0.00%,52.20%,44.50%,7.70%,96.20%,
131,,,,,,,,,,,,,,,
Georgia,14,R+27,Tom Graves,R,"53,841","175,482",0,23.50%,76.50%,0.00%,-53.00%,-52.90%,-0.10%,89.60%,
132,,,,,,,,,,,,,,,
Hawaii,1,D+17,Ed Case,D,"134,603","42,480","7,057",73.10%,23.10%,3.80%,50.00%,32.50%,17.50%,88.00%,
133,,,,,,,,,,,,,,,
Hawaii,2,D+19,Tulsi Gabbard,D,"153,132","44,816",0,77.40%,22.60%,0.00%,54.70%,31.80%,22.90%,90.10%,
134,,,,,,,,,,,,,,,
Idaho,1,R+21,Russ Fulcher,R,"93,634","195,774","20,086",30.30%,63.30%,6.50%,-33.00%,-38.30%,5.30%,86.10%,
135,,,,,,,,,,,,,,,
Idaho,2,R+17,Mike Simpson,R,"110,386","170,280",0,39.30%,60.70%,0.00%,-21.30%,-24.70%,3.40%,84.90%,
136,,,,,,,,,,,,,,,
